Entity,Code,C2013,C2014,C2015,C2016,C2017,C2018,C2019,C2020,C2021,C2022,C2023,C2024,total_aircraft,Private_jet
Afghanistan,AFG,208656.12,227078.3,187643.45,177195.73,204241.47,236053.94,159873.33,79252.125,,,68394.27,146712.78,,
Africa,,21943740,22673458,23271740,23467526,24553996,25921346,20863352,7317688.5,11353378,17001260,20650462,17705142,,
Algeria,DZA,843895,918869.4,1025135.5,1136563.8,1215380.4,1125109.8,921682.44,192887.89,200896.3,603687.1,1002394.3,1103089.5,,
Angola,AGO,605774.06,662571.6,654642.56,634277.1,609196.2,599962.6,614793.4,191202.84,156887.06,342199.5,406013.3,417894.62,,
Antigua and Barbuda,ATG,,,131895.61,141514.03,,,,,,,,,,
Argentina,ARG,3959389,3974954.5,4061345.8,4255778.5,4574941,4942872,4384410,1263717.4,1486999.8,3212476.5,4090701.5,4095075,,363
Armenia,ARM,,,,165984.05,,,,,,,,,,
Asia,,203360560,219594540,237835730,258246260,277659740,294699800,307944540,152849180,162001680,188340660,275056400,310054370,,
Australia,AUS,19103196,19381840,19541120,20878712,21766560,22482604,22084274,9222940,7903253,13848760,18388724,20275648,3379,615
Austria,AUT,1942942.8,2069204.5,2156687,2244702.2,2274704.2,2537187.8,2955016.2,1006389.5,1214195.1,2067431.8,2449485,2645748.2,,
Azerbaijan,AZE,368848.34,382622.38,393101.2,387658.9,425822.8,442269.16,440162.03,,,518882.16,606379.5,718679.56,,
Bahamas,BHS,263411.28,280802.88,278047.25,279597.94,277447.44,283140.34,370400.16,147822.28,290349,389896.94,439490.94,469625.56,,
Bangladesh,BGD,917908,1051882.4,1240751,1298522.6,1460492,1537293.5,1317098,583153.2,997318.5,1537876.4,1643487.6,1606920.1,,
Belarus,BLR,,166599.95,189553.22,230666.12,243342.61,,,,,,,,,
Belgium,BEL,2445905,2666231.5,2784250.2,2667611,2783681,,3189629.2,1427704.9,2172805,3086134.8,3135056.8,3281522.2,,
Belize,BLZ,58771.504,71765.484,73747.79,79711.336,90132.09,90964.875,,,,,,,,
Benin,BEN,,,,,,87412.92,,,,,,,,
Bhutan,BTN,9262.621,18325.145,,13929.777,16969.727,21339.967,,,,8601.646,,22092.133,,
Bolivia,BOL,405186.75,452519.06,514958.53,584574.1,579374.44,590672,331756.88,158033.3,244059.2,335301.12,401416.2,411915.5,,
Bosnia and Herzegovina,BIH,38580.02,45956.63,54888.113,,,,,,,,,,,
Botswana,BWA,41512.242,37118.676,38821.05,42972.656,39091.875,42105.133,35708.86,,15693.557,26457.27,35258.4,45384.055,,
Brazil,BRA,16627463,17108564,17199880,15607044,15438060,16517786,15051512,7269487,9276297,13164394,14626308,15667092,4539,1643
Bulgaria,BGR,347417.47,377818.84,408916.25,499165.66,598333.7,687012.8,695736.25,361172.34,418876.44,572105.75,639494.6,672649.6,,
Burkina Faso,BFA,94590.42,79981.26,74919.01,78442.49,92166.73,84829.766,,,,,,,,
Cambodia,KHM,341157.06,417418.88,421430.78,457898.78,577432.2,697789.44,769712,205469.61,87811.664,169633.81,,,,
Cameroon,CMR,242056.98,258347.31,274664.2,294679.22,259817.16,275331.66,205156,110340.195,173986.61,213805.31,209645.02,200812.3,,
Canada,CAN,14806782,15572820,16236122,17242198,18380190,19210614,20711204,8820420,8552252,14941744,17636666,18846442,4888,1290
Cape Verde,CPV,146302.53,146885.56,163184.81,201314.1,218714.36,258489.81,263442.03,103443.5,109211.88,288516.03,335418.44,326326.72,,
Chad,TCD,,,,,,53054.367,,,,,,,,
Chile,CHL,2665815,2665108.5,2812148,3016839.5,3261715.2,3530959.2,3170215,1546299.9,1792093,2548026,2844872.5,3309881.5,,
China,CHN,58693020,63766744,70091736,77936350,86515080,94305950,109111680,70591656,72403850,45249456,91599816,105847370,5366,421
Colombia,COL,2796759,3005553,3422920.5,3576113,3624550.5,3805355.2,3660272,1489278.8,2656723.5,3960160.2,4027090.5,4446319.5,,
Comoros,COM,,,19236.506,16207.482,24801.436,25388.324,,,,,,,,
Congo,COG,203506.9,241899.05,279082.75,236566.89,161493.86,144104.94,105237.28,59229.055,86007.38,78189.445,79071.89,86596.95,,
Cook Islands,COK,48552.242,48953.35,48873.902,55350.273,55796.887,60243.383,,,11494.346,29257.664,41660.73,54273.395,,
Costa Rica,CRI,557977.9,571865.25,591708.4,699609.2,682916.8,732715.3,806127.4,337362,585786.44,752333.06,861820.2,941453.25,,
Cote d'Ivoire,CIV,,225748.4,238003.17,310133.97,347789.78,378570.4,171286.72,,184250.75,282739.88,129471.46,72826.89,,
Croatia,HRV,314342.88,329687.5,361921.03,414682.94,504167.34,587313,677025.9,203149.86,363367.4,589434.75,648810.9,741377.8,,
Cuba,CUB,903946.56,942515.7,1098071.2,1354024,1584596.9,1394514.9,1158585.5,,,580704.9,762780.75,742466.8,,
Cyprus,CYP,,,765053,830384.75,925327.2,,,,559477.2,869801.2,1034530.44,1053414.4,,
Czechia,CZE,792871.94,794021.1,816738.8,954995.94,1109823.8,1279051.9,1352800.2,377765.38,428965.28,755190.75,948575.8,1177576.1,,
Democratic Republic of Congo,COD,180282.92,183447.4,209211.42,205506,207083.42,217818.62,166792.38,96676.53,157393.77,,,,,
Denmark,DNK,2227674.5,2303075,2433547.2,2737899.8,2782675.2,2965439.2,2971135.5,1025384.9,1241032.2,2118448,2422196.5,2659548.8,,
Dominican Republic,DOM,1455697.6,1572078.8,1628338.9,1679567.2,1697133.5,1797103.8,1885430.6,846101.7,1469505.8,1862125.8,1891038.4,2039553.2,,
East Timor,TLS,,,,,,,15053.252,5993.2915,,9613.073,15829.136,17720.941,,
Ecuador,ECU,903871.1,941528.2,888439.2,911739.75,873971.6,868924.94,891501.3,436681.2,622246.1,798306.75,906801.2,959951.56,,
Egypt,EGY,2792618.5,2782792.5,2968337.5,2614504.5,2753029.5,2993539.5,2890023.5,1143271.1,1881191,2900659.8,3659565.2,4267266,,
El Salvador,SLV,,,,,,,533631.4,,384896.12,404388.8,541138.25,596907.44,,
Equatorial Guinea,GNQ,63448.797,58210.72,82488.516,76296.73,75718.19,66382.8,,,,,,,,
Eritrea,ERI,36375.293,27274.4,,,29286.373,50523.875,,,,,,,,
Estonia,EST,102772.22,111992.31,127531.01,135671.16,156984.5,168595.28,,,,181167.6,,,,
Ethiopia,ETH,1125859.9,1233026.4,1463965.8,1671405.1,1810178,2089555.5,2265817.5,1183888.1,1544271.1,1795011.8,2283707,2427664,,
Europe,,149499000,155046400,161530930,169205740,178633970,185887700,193993120,79462600,96010190,150226910,170228180,182290460,,
Fiji,FJI,306758.62,311266.66,332431.53,368235.6,388742.53,420036.22,415137.16,117324.79,89006.83,259420.78,396902.38,430548.12,,
Finland,FIN,1785723.1,1817864.5,1934752.5,1977577.8,2075602.8,2352636.8,2434024.2,864716.9,837422.6,1559566,1816349.9,1931600.2,,
France,FRA,19392612,19952844,20173416,20270432,20773766,21779800,22477580,10026056,11430324,17481900,19703268,20484012,1860,
Gabon,GAB,149613.84,138820.83,158185.6,163290.61,145858.45,117562.95,,,58821.59,97539.93,100428.07,102353.195,,
Georgia,GEO,169672.5,185351.06,197506.97,222362.52,306581.53,403434.28,365665.28,93668.69,,,,546810.25,,
Germany,DEU,22457504,23227958,24086176,24827734,25240464,25708864,26098392,9669638,11098691,17866070,20385050,21716548,2351,750
Ghana,GHA,518065.4,568565.8,539204.9,587389.06,593975.6,588390.94,,,442901.25,550350.7,532819.5,552542.06,,
Greece,GRC,1956750.5,2305529.8,2676013.8,2937505,3161480.5,3662889.8,3897872.5,1481998.2,2757269.8,4132473.2,4460585.5,4895544,,
Guatemala,GTM,183819.69,201151.28,198657.73,209058.88,217886.67,240569.1,281211.47,114245.164,229501.34,283276.94,335863.56,374859.34,,
Haiti,HTI,101847.47,118012.836,110196.734,115817.96,124230.37,151507.56,,,79252.98,55283.19,52899.91,,,
Honduras,HND,128221.914,126417.266,122458.49,123900,135071.98,138282.02,162251.64,67881.14,145401.55,132025.62,170467.56,216007.02,,
Hong Kong,HKG,,,,,,,,,,,,9730094,,
Hungary,HUN,,,,,,945409.3,,,391614.9,783788.56,960276.4,1170880.5,,
Iceland,ISL,452656.78,536320.25,645138.25,901016.2,1154099.1,1309311.9,1205579.8,298406.84,426780.38,875032.3,988061.2,1014980.1,,
India,IND,14596976,15258393,16293406,18413726,20646592,23073864,22514864,10591444,13125992,18926570,22478954,24780036,1234,
Indonesia,IDN,10187038,11131188,12085634,13177270,14813238,15544740,12067947,5736663,4674657.5,7305883,9914948,10574371,1138,
Iran,IRN,1806669,2025429.8,1928283.8,2440322.5,3119318,3216020.5,1164183.1,494768.72,600933.9,620985.9,694274.1,686461.9,,
Iraq,IRQ,307937.62,554708.25,644520,814362.25,678376.4,709587.25,510951,,262468.8,343584.75,394137,413345.75,,
Ireland,IRL,1791548.4,1976337.6,2247279.5,2483976.5,2773709.5,3054874.2,3202413.2,1176798,1138713.8,2762353.2,3100927.2,3125243.8,,
Israel,ISR,2120523,2231792,2317129.8,2452948,2768328.8,3094809.8,3290681.5,1086389.5,1350726.8,2432198,2662488.8,1618955.8,,
Italy,ITA,10086854,10458492,10936170,11624050,12060305,13014944,13797322,4511686.5,5811581,10595290,12430346,14278832,,
Jamaica,JAM,532224.3,597484.75,607874.8,620830.06,649537.9,686276.5,697792.06,,400721.7,612926.8,666944.75,658997.25,,
Japan,JPN,26101030,26833504,27395602,27935552,28344838,29116276,30037716,14625888,13447762,17771756,23961202,27390932,1799,
Jordan,JOR,852174.5,867918.7,818739.94,850269,846495.1,891550.2,908919.7,,513006.9,808422.3,903682.3,845146.2,,
Kazakhstan,KAZ,1067842.5,1164055.8,1194497.6,1223728.9,1397944.2,1405344.4,1284657.8,740977.25,1105013.2,1423415.2,1794828.5,2008884.2,,
Kenya,KEN,1329224.6,1326594.6,1224974.5,1250924.4,1357785.4,1454068.1,1133808.2,568722.25,770653.5,983656.9,1254999.8,1451385.1,,
Kiribati,KIR,,,,7497.8267,10220.225,10110.314,,,,,,10273.5205,,
Kyrgyzstan,KGZ,275307.8,330646.9,298245.62,305175.56,308901,267070.84,246557.7,154629.22,279759.06,422810.78,418701.78,420541.84,,
Laos,LAO,109614.516,104363.97,110232.5,136463.98,170821.98,206000.97,174052.75,,13726.035,39249.816,100218.125,171639.97,,
Latvia,LVA,,,,,306908.8,329699,429453.72,,,,,,,
Libya,LBY,400692.1,389125.9,129587.92,140734.42,129855.44,103913.41,78793.65,,87234.01,105576.73,179641.11,208051.75,,
Lithuania,LTU,,,,,,,341613.7,140523.08,193180.77,318307.25,340869.84,369208.75,,
Madagascar,MDG,203053.9,193359.6,199098.86,187665.33,193068.78,210207.16,175827.81,,53693.64,121589.43,166831.34,156902.52,,
Malawi,MWI,35073.14,61578.387,56981.44,46414.883,50556.652,62058.5,,,,,,45380.18,,
Malaysia,MYS,7313033,8042852,7966163.5,7675840,8209377,8284597,8395227,2716705.2,1806614.2,4143219,6278370.5,7226083,,
Maldives,MDV,574173.9,637919.9,628213.44,660424.4,662803.44,686658.1,728986.94,,724277.44,799892.56,818260.3,914955.06,,
Marshall Islands,MHL,10800.758,12071.929,11864.821,13013.1,15544.395,18031.75,37375.29,17156.787,19988.133,20413.623,24643.734,30508.432,,
Mauritania,MRT,59188.977,62826.887,62175.29,62264.168,67609.984,72866.586,,,49715.043,66054.766,,,,
Mauritius,MUS,720057.44,757358.8,821610.25,909932.4,974948.75,984081.44,,,,,,,,
Mexico,MEX,7891406,8530064,9291230,10116155,10985653,11804818,12384220,7055921,10113878,12448054,13332190,13493034,2468,1242
Micronesia (country),FSM,13281.735,13286.57,14130.702,16236.637,17037.922,19302.453,24700.86,9642.273,8728.835,13191.44,18467.387,23205.957,,
Mongolia,MNG,171645.67,140009,104427.81,103328.33,115423.586,121092.64,,,,,,,,
Montenegro,MNE,79828.85,,,,,,,,,,,,,
Morocco,MAR,1651575.1,1774791.4,1834989.5,1883372.5,2085549.8,2277299.2,2385452.5,,943317.4,1813409,2254483.5,2623191.2,,
Mozambique,MOZ,199505.4,203919.28,215472.02,202565.98,201243.9,219920.94,113851.836,64093.93,102610.44,150061.97,160869.05,178466.2,,
Myanmar,MMR,346128.34,363833.56,481441.16,592371.4,680870.9,629235.3,570156.44,,91914.81,147456.73,208118.22,181382.66,,
Namibia,NAM,146504.39,141736.12,167084.88,174579.03,240756.17,254289.88,183267.84,,,123602.055,159030.72,164637.66,,
Nepal,NPL,410485.72,475493.88,448820.8,449037.2,557236.25,617436.3,,,,594165.5,603215.8,552968.94,,
Netherlands,NLD,7859429,8017811,8407953,8969127,9475232,9958722,10217228,5310349.5,5962390.5,7853536,8561452,9138794,,
New Zealand,NZL,3072976.2,3151131.8,3314794.5,3867993.5,4382265,4571307,4530525.5,2197627,1622873.5,2266529,3645798,4031796.5,,
Nicaragua,NIC,,,,105156.05,109429.2,82072.945,,,,,,88752.5,,
Niger,NER,57468.777,61687.08,69424.15,71897.3,74275.24,81168.875,,,,,,,,
Nigeria,NGA,1652222,1757834.5,1690663.9,1462608.5,1314797.1,1482698.4,1167243.6,551366.44,811423,1055993.5,1054152,1075988,,
North America,,184427360,190023300,198659680,208171780,215276200,223239650,242812290,129550750,170049220,207892030,228911330,240928300,,
North Macedonia,MKD,55678.523,68923.7,83880.31,,,,,,,,,,,
Norway,NOR,2752398,2824811.2,2830799.5,2842861,2858055,2973743.8,2860174,1373608,1460526.2,2524234.2,2621709,2713949.5,,
OECD,,,,,,,,505450600,237835970,288767550,400305400,458827700,490753660,,
Oceania,,22851442,23246218,23657710,25560030,27016484,27945182,27092012,11564691,9709686,16501543,22516196,24856254,,
Oman,OMN,961515.2,991853.9,1246875.4,1430721.2,1705861.9,1818742.4,1804981,489220.22,482911.2,961317.4,1372615.8,1278086.5,,
Pakistan,PAK,1921941.8,1832829.6,2043151.9,2228623.2,2333012.5,2342934.8,2170632.2,1147595.2,1341200.2,1931747.9,1977266.8,2079155.9,,
Panama,PAN,1409113.6,1612576.5,1745233,1841383.8,1930883.2,2008983.6,2044128.1,670327.8,1097668.6,1742578.9,1995278.5,2038614.8,,
Papua New Guinea,PNG,236050.02,270469.16,276325.5,270911.3,293246.03,271870.7,,,49165.652,63970.35,,,,
Paraguay,PRY,98411.78,111384.22,96854.414,123387.54,149265.94,170988.28,142134.2,45663.273,84745.53,134868.88,154210.78,165970,,
Peru,PER,2395964.2,2448630,2584904,2839795,2980733,3167237,2812679.5,953293.25,1400353.8,2043562.4,2397506,2646718.8,,
Philippines,PHL,4766493,4954307,5157558.5,5653291,6164551,6499220.5,6809604,2462166.2,2153157.5,4255400.5,5558570,6100960,,
Poland,POL,1393346.9,1446165.2,1581522.4,1855305.8,2217578.5,2614434.2,3012347.5,1242958.8,1617565.8,2678790.8,3162979.5,3557345.8,,
Portugal,PRT,3065104,3260431,3457172,3809848.5,4301552.5,4710623,5087823,2008937.4,2601854.2,4782634.5,5432128.5,5718987,,
Qatar,QAT,,,,,,,,,7062559.5,8876331,10265832,11488013,,
Romania,ROU,723209.4,790918.5,882743.5,1057415.9,1238982.9,1311374.8,1333929.9,601036.75,857598.44,1313935.6,1364177.2,1473407.4,,
Russia,RUS,14261498,15018814,14656826,13929430,15720598,17822850,19156546,11669832,16174772,14452173,14738956,14723488,,
Rwanda,RWA,84773.375,88630.43,106929.67,127152.71,181956.23,171818.72,,,82845.17,,147954.78,,,
Saint Kitts and Nevis,KNA,21990.037,23085.348,23600.848,24350.076,23726.12,24990.55,30086.174,12978.729,9937.86,,23440.309,29863.465,,
Saint Vincent and the Grenadines,VCT,,,,,,,19685.951,14658.888,18571.771,27854.484,28855.693,,,
Samoa,WSM,,,38528.633,,,,,,,,,,,
Sao Tome and Principe,STP,,,15078.162,13287.125,11657.753,9118.594,,,,,,16310.596,,
Saudi Arabia,SAU,6393123,7399462.5,7983059,8875366,9428761,9462851,9278226,3429559,4186322,7555056,9308296,10371516,,
Senegal,SEN,460889.06,461815.12,398505.56,388669.22,415175.12,422940.12,450479.34,292764.4,385178.12,439831.22,430043.12,402619.94,,
Serbia,SRB,,,,,,,,,294201.03,414782.16,559017.9,558042.9,,
Seychelles,SYC,153847.89,148208.84,172959.72,210220.17,254438.95,263078.5,,,199174.81,300168.22,237567.73,191405.05,,
Singapore,SGP,,,,,,,12750403,4147133.8,,7020379.5,10273008,11837335,,
Slovakia,SVK,73502.664,92237.74,116741.805,120000.25,120779.98,150010.02,153829.89,43954.598,57164.742,126740.19,141758.8,166689.86,,
Slovenia,SVN,,,,,,,,,,73428.836,,,,
Solomon Islands,SLB,23689.22,22506.283,29092.484,31868.72,31297.617,32179.783,,,,,,,,
Somalia,SOM,48179.78,37496.004,37167.223,32785.656,57099.984,56159.35,,,,50522.195,70048.97,65535.66,,
South Africa,ZAF,5606511.5,5716895.5,5889399.5,6043765.5,6200163.5,6177147.5,6112908,2283570,2185697.5,3619989.2,4562291,,1930,
South America,,31401730,32143134,32883888,32160360,32458404,34408812,30758272,13236918,17808774,26624124,30022088,32008374,,
South Korea,KOR,10697174,11525846,12314326,13159827,13906513,14663417,15904747,7109256.5,7026593.5,8529169,12610549,14757938,,
South Sudan,SSD,,,,35342.496,30339.156,31523.959,,,,,,,,
Spain,ESP,14507872,14939130,15871504,17596844,18869764,19900810,20727732,7315300.5,9969655,17670416,19725742,22142820,1183,129
Sri Lanka,LKA,1163198.8,1267645,1369010.9,1444112.6,1476627.2,1614050.5,,,,,,,,
Sudan,SDN,351715.97,299065.56,348679.7,394853.1,443614.25,420153.12,210002.33,,,,,,,
Sweden,SWE,2318426.2,2461202,2577659.5,2877673.5,3098639,3178204.2,3091396,1021854.75,1160231.8,2171155.5,2292904.5,2225782,,
Switzerland,CHE,4834855,4957019.5,5170260.5,5490476,5611548,5833937.5,5628150,2173377.2,2461605,4186597.2,4941911.5,5334926,,
Syria,SYR,50007.703,6851.1035,6204.3394,48172.867,58765.418,51787.953,,,,,,,,
Taiwan,TWN,5075517,5588861.5,6126778,6876310.5,7264923,7588032,,,,,,,,
Tajikistan,TJK,215344.28,271957.1,266351.22,235829.45,234776.66,227033.27,210003.36,,,286327.7,330536.16,272497.22,,
Tanzania,TZA,421416.44,414392.75,511782.8,520978.38,531904.9,587135.5,421789.8,216339.64,314302.56,374668.5,431178.4,509660.7,,
Thailand,THA,11473866,11821322,13119088,14094117,14739546,15812476,15460242,5667787.5,3193700.8,6585689,10316705,12344928,,
Togo,TGO,,,,,,,,,,,,191484.14,,
Tonga,TON,,,18634.164,21124.215,23532.646,22884.336,,,,,,,,
Trinidad and Tobago,TTO,258902.94,280528.78,293831.72,260763.34,251354.72,235588.84,256626.5,72616.32,55421.285,152277.44,190360.06,213669.05,,
Tunisia,TUN,731845.06,667704.4,596331.8,512840.03,606404.6,759111.5,789987.4,259892.72,356020.56,616978.94,767577.56,821367.75,,
Turkey,TUR,9225536,10590443,12196179,12590010,12702018,13872495,14960453,6072696,10011375,14533798,16566790,17355166,,
Turkmenistan,TKM,,,200263.72,251382.94,231179.52,258753.62,171464.06,,32054.406,,84684.7,159538.25,,
Uganda,UGA,238818.88,243410.86,232251.52,207522.9,217481.67,265739.44,,,,,,,,
Ukraine,UKR,975204.56,922961.56,959865.75,1100423.1,1312442.4,1501824.6,1327553.1,572058.4,1008219.5,,,,,
United Arab Emirates,ARE,20421772,22620268,25691524,27708126,28220684,27909522,25920724,10470746,11788998,17977414,23010930,25587126,,
United Kingdom,GBR,30462500,31106040,32135974,33818264,34883420,35548130,35670824,13557939,11900114,25363986,31221556,33317548,2442,325
United States,USA,155853250,159522130,166228670,173278140,178136000,184357500,201470910,111390420,146616060,173506560,189982100,200178060,46157,23575
Uruguay,URY,205893.55,230024.84,277457.22,290308.4,303530.53,319469.8,,,139664.3,225066.69,284355.2,305450.84,,
Uzbekistan,UZB,582520.6,579145.44,537209.75,503151.44,515260.8,633487.4,796710.06,,538788.9,838111.56,1053195,,,
Vanuatu,VUT,36136.957,34691.367,31913.844,29087.61,32240.13,36611.97,,,5176.0693,,,,,
Venezuela,VEN,1342976.8,1204866.6,1024980.44,954780,672260.3,494548.44,313791.94,74464.32,105591.72,201960.28,288826.53,,1246,754
Vietnam,VNM,3247947,3710574,4191645,5184140,5836951.5,6433657,7632218.5,4146376,2698197,5716237.5,7162102.5,,,
World,OWID_WRL,,,,,,,863242600,414080100,480947680,619355000,766245600,830253700,,
Yemen,YEM,215493.69,221647.48,138970.2,72347.305,13133.686,2929.3525,,,,,,,,
Zambia,ZMB,221085.06,187927.14,176171.25,188218.69,191646.36,196925.77,,,,,,,,
Zimbabwe,ZWE,126188.836,113538.695,125336.86,129381.07,138085.69,159788.19,,,,,,,,
